"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",12.34,"provisorisch"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"provisorisch"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",971.92,"provisorisch"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",59.78,"provisorisch"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",14.91,"provisorisch"
"2023-01-01T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",12.18,"provisorisch"
"2023-01-01T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"provisorisch"
"2023-01-01T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",974.46,"provisorisch"
"2023-01-01T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",15.43,"provisorisch"
"2023-01-01T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",12.23,"provisorisch"
"2023-01-01T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0,"provisorisch"
"2023-01-01T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",972.02,"provisorisch"
"2023-01-01T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",15.38,"provisorisch"
"2023-01-02T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",10.41,"provisorisch"
"2023-01-02T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",116.08,"provisorisch"
"2023-01-02T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",972.13,"provisorisch"
"2023-01-02T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",35.98,"provisorisch"
"2023-01-02T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",13.96,"provisorisch"
"2023-01-02T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",10.05,"provisorisch"
"2023-01-02T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",81.65,"provisorisch"
"2023-01-02T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",974.7,"provisorisch"
"2023-01-02T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",14.86,"provisorisch"
"2023-01-02T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",9.63,"provisorisch"
"2023-01-02T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",96.61,"provisorisch"
"2023-01-02T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",972.32,"provisorisch"
"2023-01-02T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",13.56,"provisorisch"
"2023-01-03T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",8.65,"provisorisch"
"2023-01-03T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",607.52,"provisorisch"
"2023-01-03T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",978.58,"provisorisch"
"2023-01-03T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",16.6,"provisorisch"
"2023-01-03T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",9.46,"provisorisch"
"2023-01-03T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",8.09,"provisorisch"
"2023-01-03T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",432.02,"provisorisch"
"2023-01-03T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",981.35,"provisorisch"
"2023-01-03T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",8.94,"provisorisch"
"2023-01-03T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",8.01,"provisorisch"
"2023-01-03T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",390.57,"provisorisch"
"2023-01-03T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",978.91,"provisorisch"
"2023-01-03T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",8.68,"provisorisch"
"2023-01-04T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",8.61,"provisorisch"
"2023-01-04T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",21.1,"provisorisch"
"2023-01-04T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",978.03,"provisorisch"
"2023-01-04T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",22.16,"provisorisch"
"2023-01-04T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",11.13,"provisorisch"
"2023-01-04T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",8.48,"provisorisch"
"2023-01-04T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",10.72,"provisorisch"
"2023-01-04T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",980.77,"provisorisch"
"2023-01-04T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",11.58,"provisorisch"
"2023-01-04T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",8.31,"provisorisch"
"2023-01-04T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",4.95,"provisorisch"
"2023-01-04T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",978.3,"provisorisch"
"2023-01-04T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",10.94,"provisorisch"
"2023-01-05T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",10.95,"provisorisch"
"2023-01-05T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",94.65,"provisorisch"
"2023-01-05T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",974.89,"provisorisch"
"2023-01-05T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",41.33,"provisorisch"
"2023-01-05T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",12.21,"provisorisch"
"2023-01-05T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",10.8,"provisorisch"
"2023-01-05T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",42.15,"provisorisch"
"2023-01-05T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",977.43,"provisorisch"
"2023-01-05T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",12.1,"provisorisch"
"2023-01-05T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",10.55,"provisorisch"
"2023-01-05T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",72.58,"provisorisch"
"2023-01-05T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",975.05,"provisorisch"
"2023-01-05T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",12.14,"provisorisch"
"2023-01-06T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",8.17,"provisorisch"
"2023-01-06T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"provisorisch"
"2023-01-06T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",973.08,"provisorisch"
"2023-01-06T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",19.15,"provisorisch"
"2023-01-06T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",9.44,"provisorisch"
"2023-01-06T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",7.71,"provisorisch"
"2023-01-06T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"provisorisch"
"2023-01-06T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",975.7,"provisorisch"
"2023-01-06T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",9.55,"provisorisch"
"2023-01-06T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",7.73,"provisorisch"
"2023-01-06T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0,"provisorisch"
"2023-01-06T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",973.3,"provisorisch"
"2023-01-06T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",9.51,"provisorisch"
"2023-01-07T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",7.68,"provisorisch"
"2023-01-07T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"provisorisch"
"2023-01-07T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",967.07,"provisorisch"
"2023-01-07T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",57.09,"provisorisch"
"2023-01-07T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",8.94,"provisorisch"
"2023-01-07T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",7.44,"provisorisch"
"2023-01-07T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"provisorisch"
"2023-01-07T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",969.72,"provisorisch"
"2023-01-07T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",8.84,"provisorisch"
"2023-01-07T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",7.42,"provisorisch"
"2023-01-07T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0,"provisorisch"
"2023-01-07T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",967.34,"provisorisch"
"2023-01-07T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",9.16,"provisorisch"
"2023-01-08T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",7.14,"provisorisch"
"2023-01-08T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",517.72,"provisorisch"
"2023-01-08T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",957.88,"provisorisch"
"2023-01-08T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",11.19,"provisorisch"
"2023-01-08T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",7.99,"provisorisch"
"2023-01-08T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",6.73,"provisorisch"
"2023-01-08T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",407.67,"provisorisch"
"2023-01-08T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",960.48,"provisorisch"
"2023-01-08T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",7.49,"provisorisch"
"2023-01-08T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",6.59,"provisorisch"
"2023-01-08T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",352.4,"provisorisch"
"2023-01-08T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",958.15,"provisorisch"
"2023-01-08T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",7.37,"provisorisch"
"2023-01-09T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",5.97,"provisorisch"
"2023-01-09T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",580.07,"provisorisch"
"2023-01-09T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",957.39,"provisorisch"
"2023-01-09T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",33.19,"provisorisch"
"2023-01-09T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",8.07,"provisorisch"
"2023-01-09T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",5.85,"provisorisch"
"2023-01-09T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",456.72,"provisorisch"
"2023-01-09T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",960.01,"provisorisch"
"2023-01-09T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",7.9,"provisorisch"
"2023-01-09T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",5.54,"provisorisch"
"2023-01-09T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",475.25,"provisorisch"
"2023-01-09T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",957.63,"provisorisch"
"2023-01-09T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",7.34,"provisorisch"
"2023-01-10T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",5.34,"provisorisch"
"2023-01-10T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",53.45,"provisorisch"
"2023-01-10T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",971.35,"provisorisch"
"2023-01-10T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",54.36,"provisorisch"
"2023-01-10T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",6.81,"provisorisch"
"2023-01-10T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",5.33,"provisorisch"
"2023-01-10T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",8.58,"provisorisch"
"2023-01-10T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",973.94,"provisorisch"
"2023-01-10T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",7.05,"provisorisch"
"2023-01-10T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",5.26,"provisorisch"
"2023-01-10T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",30.58,"provisorisch"
"2023-01-10T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",971.62,"provisorisch"
"2023-01-10T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",6.98,"provisorisch"
"2023-01-11T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",7.05,"provisorisch"
"2023-01-11T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",310.68,"provisorisch"
"2023-01-11T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",969.64,"provisorisch"
"2023-01-11T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",11.73,"provisorisch"
"2023-01-11T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",8.58,"provisorisch"
"2023-01-11T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",7.34,"provisorisch"
"2023-01-11T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",220.45,"provisorisch"
"2023-01-11T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",972.22,"provisorisch"
"2023-01-11T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",8.9,"provisorisch"
"2023-01-11T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",6.71,"provisorisch"
"2023-01-11T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",225.67,"provisorisch"
"2023-01-11T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",969.92,"provisorisch"
"2023-01-11T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",7.91,"provisorisch"
"2023-01-12T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",7.84,"provisorisch"
"2023-01-12T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"provisorisch"
"2023-01-12T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",970.73,"provisorisch"
"2023-01-12T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",33.29,"provisorisch"
"2023-01-12T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",9.08,"provisorisch"
"2023-01-12T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",8.22,"provisorisch"
"2023-01-12T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"provisorisch"
"2023-01-12T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",973.34,"provisorisch"
"2023-01-12T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",9.5,"provisorisch"
"2023-01-12T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",7.63,"provisorisch"
"2023-01-12T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0,"provisorisch"
"2023-01-12T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",970.94,"provisorisch"
"2023-01-12T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",9.19,"provisorisch"
"2023-01-13T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",8.14,"provisorisch"
"2023-01-13T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",337.88,"provisorisch"
"2023-01-13T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",967.84,"provisorisch"
"2023-01-13T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",37.94,"provisorisch"
"2023-01-13T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",9.19,"provisorisch"
"2023-01-13T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",8.33,"provisorisch"
"2023-01-13T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",208.63,"provisorisch"
"2023-01-13T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",970.41,"provisorisch"
"2023-01-13T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",9.53,"provisorisch"
"2023-01-13T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",7.89,"provisorisch"
"2023-01-13T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",271.5,"provisorisch"
"2023-01-13T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",968.05,"provisorisch"
"2023-01-13T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",8.84,"provisorisch"
"2023-01-14T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",7.74,"provisorisch"
"2023-01-14T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",128.18,"provisorisch"
"2023-01-14T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",967.2,"provisorisch"
"2023-01-14T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",41.98,"provisorisch"
"2023-01-14T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",10.45,"provisorisch"
"2023-01-14T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",7.86,"provisorisch"
"2023-01-14T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",66.18,"provisorisch"
"2023-01-14T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",969.78,"provisorisch"
"2023-01-14T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",10.95,"provisorisch"
"2023-01-14T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",7.5,"provisorisch"
"2023-01-14T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",62.42,"provisorisch"
"2023-01-14T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",967.43,"provisorisch"
"2023-01-14T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",10.28,"provisorisch"
"2023-01-15T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",6.81,"provisorisch"
"2023-01-15T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",292.47,"provisorisch"
"2023-01-15T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",959.9,"provisorisch"
"2023-01-15T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",10.46,"provisorisch"
"2023-01-15T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",11.11,"provisorisch"
"2023-01-15T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",6.85,"provisorisch"
"2023-01-15T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",275.93,"provisorisch"
"2023-01-15T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",962.54,"provisorisch"
"2023-01-15T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",11.34,"provisorisch"
"2023-01-15T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",6.35,"provisorisch"
"2023-01-15T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",273.22,"provisorisch"
"2023-01-15T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",960.12,"provisorisch"
"2023-01-15T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",10.69,"provisorisch"
"2023-01-16T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",3.43,"provisorisch"
"2023-01-16T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",94.11,"provisorisch"
"2023-01-16T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",945.27,"provisorisch"
"2023-01-16T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",31.55,"provisorisch"
"2023-01-16T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",6.52,"provisorisch"
"2023-01-16T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",3.33,"provisorisch"
"2023-01-16T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",32.57,"provisorisch"
"2023-01-16T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",947.87,"provisorisch"
"2023-01-16T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",6.78,"provisorisch"
"2023-01-16T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",3.17,"provisorisch"
"2023-01-16T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",40.37,"provisorisch"
"2023-01-16T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",945.56,"provisorisch"
"2023-01-16T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",6.57,"provisorisch"
"2023-01-17T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",2.65,"provisorisch"
"2023-01-17T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",115.27,"provisorisch"
"2023-01-17T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",937.53,"provisorisch"
"2023-01-17T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",19.48,"provisorisch"
"2023-01-17T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",3.77,"provisorisch"
"2023-01-17T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",2.4,"provisorisch"
"2023-01-17T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",122.48,"provisorisch"
"2023-01-17T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",940.14,"provisorisch"
"2023-01-17T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",3.86,"provisorisch"
"2023-01-17T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",2.04,"provisorisch"
"2023-01-17T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",134.09,"provisorisch"
"2023-01-17T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",937.94,"provisorisch"
"2023-01-17T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",3.42,"provisorisch"
"2023-01-18T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",1.78,"provisorisch"
"2023-01-18T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",298.7,"provisorisch"
"2023-01-18T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",945.44,"provisorisch"
"2023-01-18T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",29.78,"provisorisch"
"2023-01-18T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",2.58,"provisorisch"
"2023-01-18T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",1.68,"provisorisch"
"2023-01-18T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",213.02,"provisorisch"
"2023-01-18T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",948.1,"provisorisch"
"2023-01-18T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",2.74,"provisorisch"
"2023-01-18T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",1.36,"provisorisch"
"2023-01-18T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",169.78,"provisorisch"
"2023-01-18T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",945.73,"provisorisch"
